,Start,End,Speaker,Text
277,0:16:38,0:16:45,SPEAKER 2, engage in the one-on-ones.  No.  La mina es un dupla cuadra.  Yo creo que se refiere a algo que...  ¿Basketball court? 
278,0:16:45,0:16:51,SPEAKER 4," ¿Qué más sitios hablaron?  Tenemos el parque, Seafood, la barbería, el mofongo, McDonalds..  Subway. "
279,0:16:51,0:16:54,SPEAKER 2, McDonald's también.  todo está bien 
280,0:16:54,0:16:56,SPEAKER 4, el chicken y feliz 
281,0:16:56,0:17:06,SPEAKER 6, el chicken filet  mi grupo también mencionó una tienda de mascotas  pero no puedo decir exactamente donde está  porque es un puppy shop  donde venden mascotas 
282,0:17:06,0:17:10,SPEAKER 5," una tienda de mascotas?  si, en 181st street "
283,0:17:10,0:17:12,SPEAKER 2, está ahí caminando 
284,0:17:12,0:17:20,SPEAKER 5, hay una tienda de plantas  y luego está un poco más  está Dunkin Donuts  McDonalds 
285,0:17:20,0:17:26,SPEAKER 4, hay que ir escuchando a los niños  capturar eso va a ser difícil  hay que grabar o escribir 
286,0:17:26,0:17:28,SPEAKER 2, además de sus fotos 
287,0:17:28,0:17:30,SPEAKER 4, yo me muero de mi casa 12 minutos 
288,0:17:30,0:17:32,SPEAKER 5, hoy viniendo para acá 
289,0:17:32,0:17:36,SPEAKER 4, que me estaba fijando más en la comunidad  hay una botita ahí 
290,0:17:36,0:17:44,SPEAKER 5, que vende Virgen de la Guadalupe  hay que ir muy lejos  hay que ir muy lejos  para encontrar maravillas 
291,0:17:44,0:17:46,SPEAKER 4, para los santos 
292,0:17:46,0:17:48,SPEAKER 5, voy a entrar aquí a que me bendigan 
293,0:17:48,0:17:56,SPEAKER 4, bien bonita  y alrededor del metro  me encanta esa vía música  hacia el metro 
294,0:17:56,0:18:04,SPEAKER 3, hacia arriba cuando uno va a la prendería  hay muchas tiendas  y hay mucha gente que vende cosas en la calle  pues vamos 
295,0:18:04,0:18:10,SPEAKER 4, vamos a verlo  llevamos para escribir  porque de aquí al martes a lo mejor se olvidan 
296,0:18:10,0:18:16,SPEAKER 2, Manuel puede no saber de los sitios  apuntemos los 3 o 4 sitios  y grabar 
297,0:18:16,0:18:20,SPEAKER 4, un adulto con 4 o 5 niños  como mucho 
298,0:18:20,0:18:22,SPEAKER 5, que se sientan seguros 
299,0:18:22,0:18:26,SPEAKER 4, los de aquí se quedan poquitos  2 adultos 
300,0:18:26,0:18:28,SPEAKER 5, entonces lo vamos a hacer en 2 días 
301,0:18:28,0:18:30,SPEAKER 4, que os parece si lo hacemos en 2 días 
302,0:18:30,0:18:34,SPEAKER 5, se quejaran mucho  y salimos con un desfase de 5 minutos 
303,0:18:36,0:18:38,SPEAKER 4, es que viene Agostina 
304,0:18:38,0:18:40,SPEAKER 2, hay una chica que necesita 
305,0:18:40,0:18:42,SPEAKER 4, hacer algo en grupo pequeño 
306,0:18:42,0:18:44,SPEAKER 2, el martes solo 
307,0:18:44,0:18:48,SPEAKER 3, por eso ella había dicho  como salir con un grupo 
308,0:18:48,0:18:50,SPEAKER 2, volver 
309,0:18:50,0:18:56,SPEAKER 6, el mismo día  con los clientes que se quedan  aquí se tendría que hacer algo con ellos 
310,0:18:58,0:19:02,SPEAKER 4, no van a dar tiempo a Switch  pero pueden acabar 
311,0:19:02,0:19:04,SPEAKER 2, y salir 
312,0:19:04,0:19:16,SPEAKER 4, no tienen que esperar a que vuelva  el otro grupo  o no seremos suficientes  porque Agostina puede ir con el grupo  pero Agostina no va  tiene que ir uno que sepa 
313,0:19:16,0:19:18,SPEAKER 5, que haya hecho el paseo 
314,0:19:18,0:19:22,SPEAKER 4, pero como acompañante  como soporte 
315,0:19:22,0:19:24,SPEAKER 5, pero no que ella 
316,0:19:24,0:19:26,SPEAKER 4, no conoce nada de la comunidad 
317,0:19:26,0:19:28,SPEAKER 5," no, no, una cosa es la habilidad "
318,0:19:28,0:19:30,SPEAKER 2, también 
319,0:19:30,0:19:36,SPEAKER 1," o sea, podemos separarlo  pero siempre estaba pensando que podría ser bueno  si todos fuéramos "
320,0:19:36,0:19:38,SPEAKER 2, pero no vamos a estar aquí el martes 
321,0:19:38,0:19:44,SPEAKER 1," o sea, todavía podemos ir el martes  con quien sea que no venga el martes  pero sería más manejable "
322,0:19:44,0:19:50,SPEAKER 2, si todos  creo que tenemos que hacerlo  un día 
323,0:19:50,0:20:10,SPEAKER 1, o quizás si son pocos que no están 
324,0:20:10,0:20:12,SPEAKER 2, ya les avisamos 
325,0:20:12,0:20:22,SPEAKER 1, vamos a visitar  no vamos a definir rutas ahora 
326,0:20:22,0:20:24,SPEAKER 5," no, pero por lo menos "
327,0:20:24,0:20:30,SPEAKER 4, los que estén aquí  por ejemplo  Manuel ha dicho yo no conozco nada de la comunidad 
328,0:20:30,0:20:32,SPEAKER 1, tengo que ir con otro 
329,0:20:32,0:20:34,SPEAKER 5, ya somos los expertos 
330,0:20:34,0:20:36,SPEAKER 4, y apuntamos 
331,0:20:36,0:20:38,SPEAKER 2, y yo también 
332,0:20:38,0:20:40,SPEAKER 5, que conozco 
333,0:20:40,0:20:42,SPEAKER 4, nada 
334,0:20:42,0:20:44,SPEAKER 2, nada 
335,0:20:44,0:20:46,SPEAKER 4, vamos ahora 
336,0:20:46,0:20:48,SPEAKER 2, estamos trayendo mis cosas 
337,0:20:48,0:20:52,SPEAKER 4, vamos a ver  como es eso 
338,0:20:52,0:21:02,SPEAKER 2," si, porque iba a decir  me gusta cerrar el cuarto  pero no tengo la llave  la perdí el día  que nunca teníamos el dron  le gusta su casa "
