Audio File : whispy\apr_25\042523_meeting.wav             
Pipeline : pyannote/speaker-diarization
                    
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 08:50:57          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                    
[ 00:00:00.750 -->  00:00:06.488] IL SPEAKER_04
[ 00:38:36.034 -->  00:38:36.186] HJ SPEAKER_03
[ 00:38:40.253 -->  00:38:44.185] SG SPEAKER_08
[ 00:38:45.147 -->  00:38:52.825] SH SPEAKER_08
[ 00:38:53.584 -->  00:39:24.347] SI SPEAKER_08
[ 00:38:56.520 -->  00:38:57.449] HK SPEAKER_03
[ 00:38:57.449 -->  00:38:58.849] AL SPEAKER_00
[ 00:39:13.345 -->  00:39:16.450] CT SPEAKER_01
[ 00:39:18.981 -->  00:39:19.943] OE SPEAKER_05
[ 00:39:23.014 -->  00:39:25.512] ME SPEAKER_04
[ 00:39:23.436 -->  00:39:23.942] VJ SPEAKER_10
[ 00:39:25.512 -->  00:39:43.922] RA SPEAKER_07
[ 00:39:26.490 -->  00:39:27.402] UE SPEAKER_09
[ 00:39:43.973 -->  00:39:54.064] UF SPEAKER_09
[ 00:39:48.141 -->  00:39:49.947] RB SPEAKER_07
[ 00:39:55.313 -->  00:39:55.448] UG SPEAKER_09
[ 00:39:55.448 -->  00:39:56.258] RC SPEAKER_07
[ 00:39:56.646 -->  00:39:59.768] MF SPEAKER_04
[ 00:40:01.337 -->  00:40:04.898] MG SPEAKER_04
[ 00:40:05.657 -->  00:40:08.610] MH SPEAKER_04
[ 00:40:09.285 -->  00:40:15.850] MI SPEAKER_04
[ 00:40:12.947 -->  00:40:13.707] UH SPEAKER_09
[ 00:40:14.415 -->  00:40:51.439] UI SPEAKER_09
[ 00:40:21.064 -->  00:40:21.469] HL SPEAKER_03
[ 00:40:29.080 -->  00:40:29.974] WI SPEAKER_11
[ 00:40:41.348 -->  00:40:43.525] AM SPEAKER_00
[ 00:40:48.030 -->  00:40:48.722] HM SPEAKER_03
[ 00:40:51.439 -->  00:41:08.348] MJ SPEAKER_04
[ 00:41:09.360 -->  00:41:12.904] MK SPEAKER_04
[ 00:41:10.660 -->  00:41:15.503] RD SPEAKER_07
[ 00:41:15.503 -->  00:41:17.477] ML SPEAKER_04
[ 00:41:17.477 -->  00:41:42.284] SJ SPEAKER_08
[ 00:41:43.043 -->  00:41:46.350] SK SPEAKER_08
[ 00:41:46.570 -->  00:41:58.467] UJ SPEAKER_09
[ 00:41:59.749 -->  00:42:03.597] UK SPEAKER_09
[ 00:42:03.597 -->  00:42:08.355] CU SPEAKER_01
[ 00:42:05.335 -->  00:42:18.936] AN SPEAKER_00
[ 00:42:18.936 -->  00:42:21.434] MM SPEAKER_04
[ 00:42:19.560 -->  00:42:48.552] UL SPEAKER_09
[ 00:42:33.955 -->  00:42:36.216] AO SPEAKER_00
[ 00:42:41.819 -->  00:42:42.207] HN SPEAKER_03
[ 00:42:44.400 -->  00:42:45.227] HO SPEAKER_03
[ 00:42:45.227 -->  00:42:45.329] FA SPEAKER_02
[ 00:42:48.552 -->  00:43:12.480] CV SPEAKER_01
[ 00:42:50.374 -->  00:42:52.011] UM SPEAKER_09
[ 00:42:51.437 -->  00:42:51.944] HP SPEAKER_03
[ 00:42:58.424 -->  00:42:58.930] HQ SPEAKER_03
[ 00:43:04.920 -->  00:43:05.140] HR SPEAKER_03
[ 00:43:06.625 -->  00:43:07.367] MN SPEAKER_04
[ 00:43:07.367 -->  00:43:08.009] SL SPEAKER_08
[ 00:43:10.236 -->  00:43:29.946] SM SPEAKER_08
[ 00:43:12.480 -->  00:43:12.582] HS SPEAKER_03
[ 00:43:18.370 -->  00:43:22.437] HT SPEAKER_03
[ 00:43:22.437 -->  00:43:23.550] CW SPEAKER_01
[ 00:43:26.318 -->  00:43:28.005] AP SPEAKER_00
[ 00:43:28.005 -->  00:43:28.529] UN SPEAKER_09
[ 00:43:29.592 -->  00:43:44.999] UO SPEAKER_09
[ 00:43:44.999 -->  00:43:53.234] SN SPEAKER_08
[ 00:43:53.875 -->  00:44:08.455] SO SPEAKER_08
[ 00:44:07.054 -->  00:44:16.470] CX SPEAKER_01
[ 00:44:16.470 -->  00:44:18.124] HU SPEAKER_03
[ 00:44:16.504 -->  00:45:12.495] FB SPEAKER_02
[ 00:44:42.492 -->  00:44:43.994] AQ SPEAKER_00
[ 00:44:43.994 -->  00:44:44.314] HV SPEAKER_03
[ 00:45:06.859 -->  00:45:06.960] SP SPEAKER_08
[ 00:45:13.086 -->  00:45:17.946] FC SPEAKER_02
[ 00:45:18.537 -->  00:45:22.992] FD SPEAKER_02
[ 00:45:27.835 -->  00:45:50.144] FE SPEAKER_02
[ 00:45:37.690 -->  00:45:38.010] HW SPEAKER_03
[ 00:45:39.040 -->  00:45:39.495] VK SPEAKER_10
[ 00:45:39.495 -->  00:45:39.698] WJ SPEAKER_11
[ 00:45:50.667 -->  00:45:53.502] HX SPEAKER_03
[ 00:45:51.240 -->  00:45:52.962] FF SPEAKER_02
[ 00:45:52.945 -->  00:45:57.569] MO SPEAKER_04
[ 00:45:53.502 -->  00:45:54.295] CY SPEAKER_01
[ 00:45:55.442 -->  00:46:10.613] CZ SPEAKER_01
[ 00:46:01.872 -->  00:46:02.007] HY SPEAKER_03
[ 00:46:02.007 -->  00:46:05.382] WK SPEAKER_11
[ 00:46:09.449 -->  00:46:16.502] FG SPEAKER_02
[ 00:46:12.992 -->  00:46:16.941] RE SPEAKER_07
[ 00:46:16.502 -->  00:46:17.009] MP SPEAKER_04
[ 00:46:16.941 -->  00:46:20.721] DA SPEAKER_01
[ 00:46:17.599 -->  00:46:18.139] MQ SPEAKER_04
[ 00:46:20.367 -->  00:46:35.655] MR SPEAKER_04
[ 00:46:36.584 -->  00:46:37.377] MS SPEAKER_04
[ 00:46:38.052 -->  00:46:52.699] MT SPEAKER_04
[ 00:46:51.990 -->  00:46:54.724] DB SPEAKER_01
[ 00:46:54.724 -->  00:46:56.445] MU SPEAKER_04
[ 00:46:57.154 -->  00:47:13.067] MV SPEAKER_04
[ 00:47:10.857 -->  00:47:20.442] DC SPEAKER_01
[ 00:47:18.518 -->  00:47:33.942] MW SPEAKER_04
[ 00:47:20.442 -->  00:47:20.745] HZ SPEAKER_03
[ 00:47:33.942 -->  00:47:42.497] FH SPEAKER_02
[ 00:47:36.102 -->  00:47:37.249] MX SPEAKER_04
[ 00:47:39.494 -->  00:47:40.337] MY SPEAKER_04
[ 00:47:41.519 -->  00:47:47.425] MZ SPEAKER_04
[ 00:47:46.176 -->  00:47:53.297] FI SPEAKER_02
[ 00:47:53.567 -->  00:48:07.287] NA SPEAKER_04
[ 00:48:06.443 -->  00:48:06.494] RF SPEAKER_07
[ 00:48:07.185 -->  00:48:09.582] RG SPEAKER_07
[ 00:48:09.953 -->  00:48:19.943] NB SPEAKER_04
[ 00:48:19.504 -->  00:48:24.567] OF SPEAKER_05
[ 00:48:25.225 -->  00:48:38.927] OG SPEAKER_05
[ 00:48:37.645 -->  00:48:46.437] DD SPEAKER_01
[ 00:48:39.940 -->  00:48:40.142] OH SPEAKER_05
[ 00:48:42.589 -->  00:48:57.439] RH SPEAKER_07
[ 00:48:46.437 -->  00:48:49.103] FJ SPEAKER_02
[ 00:48:52.495 -->  00:48:53.507] AR SPEAKER_00
[ 00:48:53.507 -->  00:48:54.047] WL SPEAKER_11
[ 00:48:56.595 -->  00:48:58.637] WM SPEAKER_11
[ 00:48:57.439 -->  00:49:31.442] NC SPEAKER_04
[ 00:49:00.055 -->  00:49:00.949] IA SPEAKER_03
[ 00:49:00.949 -->  00:49:01.810] RI SPEAKER_07
[ 00:49:03.430 -->  00:49:04.172] UP SPEAKER_09
[ 00:49:03.548 -->  00:49:04.105] IB SPEAKER_03
[ 00:49:04.105 -->  00:49:04.122] WN SPEAKER_11
[ 00:49:06.501 -->  00:49:06.535] DE SPEAKER_01
[ 00:49:06.535 -->  00:49:07.379] WO SPEAKER_11
[ 00:49:30.092 -->  00:49:37.855] SQ SPEAKER_08
[ 00:49:37.281 -->  00:49:39.660] ND SPEAKER_04
[ 00:49:39.812 -->  00:49:54.983] SR SPEAKER_08
[ 00:49:52.384 -->  00:49:52.401] AS SPEAKER_00
[ 00:49:52.401 -->  00:49:54.173] NE SPEAKER_04
[ 00:49:53.684 -->  00:49:54.443] AT SPEAKER_00
[ 00:49:58.695 -->  00:50:05.496] SS SPEAKER_08
[ 00:50:05.496 -->  00:50:17.832] RJ SPEAKER_07
[ 00:50:12.297 -->  00:50:12.449] PO SPEAKER_06
[ 00:50:14.845 -->  00:50:24.936] ST SPEAKER_08
[ 00:50:21.494 -->  00:50:22.000] IC SPEAKER_03
[ 00:50:22.000 -->  00:50:22.405] AU SPEAKER_00
[ 00:50:24.936 -->  00:50:27.906] RK SPEAKER_07
[ 00:50:26.809 -->  00:50:26.860] SU SPEAKER_08
[ 00:50:26.860 -->  00:50:28.024] UQ SPEAKER_09
[ 00:50:27.906 -->  00:50:38.031] AV SPEAKER_00
[ 00:50:37.947 -->  00:50:38.993] OI SPEAKER_05
[ 00:50:38.993 -->  00:51:01.403] NF SPEAKER_04
[ 00:50:45.524 -->  00:50:46.182] DF SPEAKER_01
[ 00:50:45.540 -->  00:50:45.777] OJ SPEAKER_05
[ 00:50:48.072 -->  00:50:49.152] DG SPEAKER_01
[ 00:50:49.152 -->  00:50:49.962] ID SPEAKER_03
[ 00:50:56.256 -->  00:50:57.285] DH SPEAKER_01
[ 00:50:57.488 -->  00:50:57.640] OK SPEAKER_05
[ 00:50:57.640 -->  00:50:57.944] SV SPEAKER_08
[ 00:51:02.112 -->  00:51:10.988] NG SPEAKER_04
[ 00:51:03.580 -->  00:51:03.900] SW SPEAKER_08
[ 00:51:05.284 -->  00:51:05.301] SX SPEAKER_08
[ 00:51:15.072 -->  00:51:17.670] IE SPEAKER_03
[ 00:51:15.645 -->  00:51:19.864] VL SPEAKER_10
[ 00:51:20.691 -->  00:51:24.505] VM SPEAKER_10
[ 00:51:24.505 -->  00:51:32.369] WP SPEAKER_11
[ 00:51:33.077 -->  00:51:42.291] WQ SPEAKER_11
[ 00:51:37.549 -->  00:51:37.600] DI SPEAKER_01
[ 00:51:38.494 -->  00:51:38.595] DJ SPEAKER_01
[ 00:51:41.532 -->  00:51:43.945] DK SPEAKER_01
[ 00:51:43.844 -->  00:51:47.455] RL SPEAKER_07
[ 00:51:45.649 -->  00:51:46.004] DL SPEAKER_01
[ 00:51:46.004 -->  00:51:50.830] NH SPEAKER_04
[ 00:51:49.429 -->  00:51:51.623] IF SPEAKER_03
[ 00:51:51.623 -->  00:52:01.292] NI SPEAKER_04
[ 00:51:52.484 -->  00:51:52.652] IG SPEAKER_03
[ 00:52:01.292 -->  00:52:01.782] IH SPEAKER_03
[ 00:52:03.115 -->  00:52:14.944] NJ SPEAKER_04
[ 00:52:14.944 -->  00:52:28.039] FK SPEAKER_02
[ 00:52:15.990 -->  00:52:16.885] NK SPEAKER_04
[ 00:52:20.631 -->  00:52:21.002] AW SPEAKER_00
[ 00:52:21.002 -->  00:52:21.559] VN SPEAKER_10
[ 00:52:27.499 -->  00:52:27.938] II SPEAKER_03
[ 00:52:28.039 -->  00:52:28.596] NL SPEAKER_04
[ 00:52:29.558 -->  00:52:36.004] NM SPEAKER_04
[ 00:52:36.004 -->  00:52:37.827] PP SPEAKER_06
[ 00:52:36.426 -->  00:52:36.814] IJ SPEAKER_03
[ 00:52:38.485 -->  00:52:39.447] PQ SPEAKER_06
[ 00:52:39.447 -->  00:52:40.999] DM SPEAKER_01
[ 00:52:40.949 -->  00:52:42.957] AX SPEAKER_00
[ 00:52:40.999 -->  00:52:45.859] UR SPEAKER_09
[ 00:52:45.859 -->  00:52:50.095] DN SPEAKER_01
[ 00:52:50.044 -->  00:52:54.077] NN SPEAKER_04
[ 00:52:52.052 -->  00:52:58.515] DO SPEAKER_01
[ 00:52:57.182 -->  00:53:03.004] SY SPEAKER_08
[ 00:53:01.806 -->  00:53:05.164] DP SPEAKER_01
[ 00:53:03.004 -->  00:53:08.134] US SPEAKER_09
[ 00:53:06.092 -->  00:53:09.940] NO SPEAKER_04
[ 00:53:06.143 -->  00:53:06.666] DQ SPEAKER_01
[ 00:53:09.940 -->  00:53:13.433] RM SPEAKER_07
[ 00:53:13.433 -->  00:53:15.374] DR SPEAKER_01
[ 00:53:15.019 -->  00:53:16.116] SZ SPEAKER_08
[ 00:53:16.116 -->  00:53:20.993] UT SPEAKER_09
[ 00:53:20.554 -->  00:53:22.461] RN SPEAKER_07
[ 00:53:20.993 -->  00:53:34.358] TA SPEAKER_08
[ 00:53:23.457 -->  00:53:23.946] RO SPEAKER_07
[ 00:53:30.713 -->  00:53:31.557] UU SPEAKER_09
[ 00:53:31.557 -->  00:53:35.877] DS SPEAKER_01
[ 00:53:35.387 -->  00:53:40.450] TB SPEAKER_08
[ 00:53:40.450 -->  00:53:42.779] DT SPEAKER_01
[ 00:53:41.226 -->  00:53:54.962] TC SPEAKER_08
[ 00:53:45.293 -->  00:53:46.002] UV SPEAKER_09
[ 00:53:45.495 -->  00:53:46.660] IK SPEAKER_03
[ 00:53:48.989 -->  00:53:50.828] UW SPEAKER_09
[ 00:53:53.579 -->  00:53:56.481] NP SPEAKER_04
[ 00:53:58.793 -->  00:54:04.446] NQ SPEAKER_04
[ 00:53:58.945 -->  00:53:58.962] AY SPEAKER_00
[ 00:53:59.991 -->  00:54:00.177] AZ SPEAKER_00                    

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Finished diarization...          
 Time : 12:12:38          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~                    
~~~~~~~~~~~~~~~~~~~~~~~           
 Total runtime: 3:21:41           
~~~~~~~~~~~~~~~~~~~~~~~
