[0:00:00 -> 0:00:02]  Alright, let me...
[0:18:26 -> 0:18:28]  But then
[0:18:28 -> 0:18:30]  Chloe was the police
[0:18:30 -> 0:18:32]  woman
[0:18:32 -> 0:18:34]  because they wouldn't want her stealing too.
[0:18:36 -> 0:18:38]  They let them go to
[0:18:38 -> 0:18:40]  live with Gwaius
[0:18:40 -> 0:18:42]  but then they called the parents.
[0:18:42 -> 0:18:44]  And the mom is so angry that she doesn't want to pick them up.
[0:18:44 -> 0:18:46]  So they spent seven years in jail.
[0:18:46 -> 0:18:48]  That was so sad.
[0:18:48 -> 0:18:50]  That's a good long story. It's got some ups and downs.
[0:18:50 -> 0:18:52]  It took me some time to get that out.
[0:18:52 -> 0:18:54]  Yeah, does Kelsey say sorry?
[0:18:54 -> 0:18:56]  Except for... because they're creating it
[0:18:56 -> 0:18:58]  as we're asking them.
[0:18:58 -> 0:19:00]  I don't think they've got any story.
[0:19:00 -> 0:19:02]  Let's make it up for this lady that is asking.
[0:19:02 -> 0:19:04]  This is the story that Kelsey told me.
[0:19:04 -> 0:19:06]  Yeah, it's the exact same story.
[0:19:06 -> 0:19:08]  Oh, they didn't have this story before.
[0:19:08 -> 0:19:10]  And it's remembering it maybe.
[0:19:10 -> 0:19:12]  Now another thing that we were focusing on
[0:19:12 -> 0:19:14]  is the community.
[0:19:14 -> 0:19:16]  I was trying to ask them, so what's the background?
[0:19:16 -> 0:19:18]  Where is this happening? And that's where Target came from.
[0:19:18 -> 0:19:20]  And then someone... Sears?
[0:19:20 -> 0:19:22]  Someone told me about Sears.
[0:19:22 -> 0:19:24]  They like Sears.
[0:19:24 -> 0:19:26]  Is Scandi there?
[0:19:26 -> 0:19:28]  I don't know where it was.
[0:19:28 -> 0:19:30]  The locker.
[0:19:30 -> 0:19:32]  The park came up a lot at my table.
[0:19:32 -> 0:19:34]  The cake shop.
[0:19:34 -> 0:19:36]  I know.
[0:19:36 -> 0:19:38]  Eliana is doing one at the cake shop.
[0:19:38 -> 0:19:40]  The game.
[0:19:40 -> 0:19:42]  Cake.
[0:19:42 -> 0:19:44]  The bakery.
[0:19:44 -> 0:19:46]  That's the word.
[0:19:46 -> 0:19:48]  Dariel said no.
[0:19:48 -> 0:19:50]  Because everything is happening in the beach.
[0:19:50 -> 0:19:52]  That was locked two weeks ago.
[0:19:52 -> 0:19:54]  But that is also...
[0:19:54 -> 0:19:56]  I'm sure he's talking about it.
[0:19:56 -> 0:19:58]  Could be talking about it.
[0:19:58 -> 0:20:00]  And Giovanni?
[0:20:00 -> 0:20:02]  Oh, Giovanni doesn't want the community either.
[0:20:02 -> 0:20:04]  What if we lose?
[0:20:04 -> 0:20:06]  He didn't use the Mario world.
[0:20:06 -> 0:20:08]  Yeah, Giovanni too.
[0:20:08 -> 0:20:10]  Jayden picked the
[0:20:10 -> 0:20:12]  target mural
[0:20:12 -> 0:20:14]  that we saw.
[0:20:14 -> 0:20:16]  I think it's kind of in a park.
[0:20:16 -> 0:20:18]  So he chose that.
[0:20:18 -> 0:20:20]  Who?
[0:20:20 -> 0:20:22]  Jayden.
[0:20:22 -> 0:20:24]  So did we get a lot of photos selected?
[0:20:24 -> 0:20:26]  I can just select a few more
[0:20:26 -> 0:20:28]  that are good.
[0:20:28 -> 0:20:30]  Just print them out.
[0:20:30 -> 0:20:32]  In the group network,
[0:20:32 -> 0:20:34]  Jayden chose a picture.
[0:20:34 -> 0:20:36]  We're like, no.
[0:20:36 -> 0:20:38]  It doesn't work.
[0:20:38 -> 0:20:40]  But they can use extras.
[0:20:40 -> 0:20:42]  They could just choose from the ones we have printed.
[0:20:42 -> 0:20:44]  It might be helpful to do
[0:20:44 -> 0:20:46]  this size in Walgreens.
[0:20:46 -> 0:20:48]  Because this one
[0:20:48 -> 0:20:50]  sometimes is too big.
[0:20:50 -> 0:20:52]  Or they could cut.
[0:20:52 -> 0:20:54]  I thought we were just going to do paper.
[0:20:54 -> 0:20:56]  Because we don't want it to be reflective.
[0:20:56 -> 0:20:58]  And we want it to take up the whole back of the...
[0:20:58 -> 0:21:00]  Oh, not photographic like in Walgreens.
[0:21:00 -> 0:21:02]  No, I don't think we have
[0:21:02 -> 0:21:04]  the time or money.
[0:21:04 -> 0:21:06]  The reflective part
[0:21:06 -> 0:21:08]  would be a problem as well.
[0:21:08 -> 0:21:10]  I was going to say, I think regular paper is better anyway.
[0:21:10 -> 0:21:12]  It's also easier to cut if you need to adjust things.
[0:21:12 -> 0:21:14]  Can we do
[0:21:14 -> 0:21:16]  color?
[0:21:16 -> 0:21:18]  I can try to print in color at the office I work at.
[0:21:18 -> 0:21:20]  In the office,
[0:21:20 -> 0:21:22]  we're not doing very well
[0:21:22 -> 0:21:24]  with coloring.
[0:21:24 -> 0:21:26]  I can try at the office I work at.
[0:21:26 -> 0:21:28]  We can print it at TC.
[0:21:28 -> 0:21:30]  Ashley got a new computer.
[0:21:30 -> 0:21:32]  It doesn't connect with one color printer.
[0:21:32 -> 0:21:34]  We can print them in color
[0:21:34 -> 0:21:36]  at TC.
[0:21:36 -> 0:21:38]  For me to pay.
[0:21:38 -> 0:21:40]  I'll try to go without paying.
[0:21:42 -> 0:21:44]  Just give me the receipt.
[0:21:44 -> 0:21:46]  We need them.
[0:21:46 -> 0:21:48]  If you don't.
[0:21:48 -> 0:21:50]  If I can't get it for free.
[0:21:50 -> 0:21:52]  That's what I was trying to say.
[0:21:52 -> 0:21:54]  And then choose the target.
[0:21:54 -> 0:21:56]  But they can just draw in mural.
[0:21:56 -> 0:21:58]  David was very happy drawing just this.
[0:21:58 -> 0:22:00]  I guess I got overly concerned
[0:22:00 -> 0:22:02]  with the time that all of this is going to take.
[0:22:04 -> 0:22:06]  Yeah, maybe it's the barrier
[0:22:06 -> 0:22:08]  by the computer to work.
[0:22:08 -> 0:22:10]  It's going to take some time.
[0:22:10 -> 0:22:12]  This is what we're going to do until the end of the year.
[0:22:12 -> 0:22:14]  I'm just worried
[0:22:14 -> 0:22:16]  about them not finishing.
[0:22:16 -> 0:22:18]  If they don't finish, and some others do.
[0:22:18 -> 0:22:20]  They want to keep working on it, but we're not coming anymore.
[0:22:20 -> 0:22:22]  I don't know.
[0:22:22 -> 0:22:24]  That's what I'm worried about.
[0:22:24 -> 0:22:26]  It'll be okay, I guess.
[0:22:26 -> 0:22:28]  We're gone to make them finish.
[0:22:28 -> 0:22:30]  That'll be fine.
[0:22:30 -> 0:22:32]  A lot of the kids
[0:22:32 -> 0:22:34]  are finishing with their play.
[0:22:34 -> 0:22:36]  Once we get through the movie,
[0:22:36 -> 0:22:38]  they can help other kids finish.
[0:22:38 -> 0:22:40]  We all have to make the movie.
[0:22:40 -> 0:22:42]  Not only Joe, this time around.
[0:22:42 -> 0:22:44]  That's what we're going to do.
[0:22:44 -> 0:22:46]  That's going to be much faster.
[0:22:46 -> 0:22:48]  We have the tripods.
[0:22:48 -> 0:22:50]  But I think Angela and Andrea
[0:22:50 -> 0:22:52]  didn't get to see them, right?
[0:22:52 -> 0:22:54]  They were there.
[0:22:54 -> 0:22:56]  They're pretty simple.
[0:22:56 -> 0:22:58]  They're not very complicated.
[0:22:58 -> 0:23:00]  But just so you know, we have tripods.
[0:23:00 -> 0:23:02]  Mini tripods.
[0:23:02 -> 0:23:04]  Did they taste them?
[0:23:04 -> 0:23:06]  On Friday, it was fine to shoot.
[0:23:06 -> 0:23:08]  This Friday.
[0:23:08 -> 0:23:10]  This Friday, we'll talk about that.
[0:23:10 -> 0:23:12]  Even though we're starting to shoot them tomorrow.
[0:23:12 -> 0:23:14]  We set up today.
[0:23:14 -> 0:23:16]  We don't have those tripods with us.
[0:23:16 -> 0:23:18]  We don't have them.
[0:23:18 -> 0:23:20]  Go with the flow.
[0:23:20 -> 0:23:22]  It's pretty easy.
[0:23:22 -> 0:23:24]  Download the app on your phone.
[0:23:24 -> 0:23:26]  If you haven't already.
[0:23:26 -> 0:23:28]  It's called Stop Motion.
[0:23:28 -> 0:23:30]  It's like a blue icon
[0:23:30 -> 0:23:32]  on the video camera.
[0:23:32 -> 0:23:34]  Is it in Play Store or Mac Store?
[0:23:34 -> 0:23:36]  Just for you, Joe.
[0:23:36 -> 0:23:38]  It's for the kids.
[0:23:38 -> 0:23:40]  64 years.
[0:23:40 -> 0:23:42]  Hannah.
[0:23:42 -> 0:23:44]  Do you see...
[0:23:44 -> 0:23:46]  Sorry, go ahead.
[0:23:46 -> 0:23:48]  No, you speak.
[0:23:48 -> 0:23:50]  I was also thinking
[0:23:50 -> 0:23:52]  just to tie it into the class
[0:23:52 -> 0:23:54]  and what they do during the day.
[0:23:54 -> 0:23:56]  I guess it's all covered right now.
[0:23:56 -> 0:23:58]  As we mentioned before,
[0:23:58 -> 0:24:00]  we have these values
[0:24:00 -> 0:24:02]  like perseverance
[0:24:02 -> 0:24:04]  and craftsmanship
[0:24:04 -> 0:24:06]  and things that we focus on.
[0:24:06 -> 0:24:08]  If you see someone
[0:24:08 -> 0:24:10]  who is persevering
[0:24:10 -> 0:24:12]  specifically because
[0:24:12 -> 0:24:14]  we were talking about
[0:24:14 -> 0:24:16]  a lot of the learning that's happening
[0:24:16 -> 0:24:18]  is in that
[0:24:18 -> 0:24:20]  challenging yourself.
[0:24:20 -> 0:24:22]  Yeah, exactly.
[0:24:22 -> 0:24:24]  Collaborating.
[0:24:24 -> 0:24:26]  All of those things
[0:24:26 -> 0:24:28]  are good to highlight
[0:24:28 -> 0:24:30]  especially they know
[0:24:30 -> 0:24:32]  all the vocabulary, they know what they mean.
[0:24:32 -> 0:24:34]  Also,
[0:24:34 -> 0:24:36]  part of our lesson plans
[0:24:36 -> 0:24:38]  at the school,
[0:24:38 -> 0:24:40]  we mentioned this before too,
[0:24:40 -> 0:24:42]  but the anticipated
[0:24:42 -> 0:24:44]  misconceptions and then also
[0:24:44 -> 0:24:46]  at the end, a debrief
[0:24:46 -> 0:24:48]  to talk about
[0:24:48 -> 0:24:50]  maybe highlighting a student who
[0:24:50 -> 0:24:52]  was persevering or
[0:24:52 -> 0:24:54]  who showed a strategy
[0:24:54 -> 0:24:56]  for this play.
[0:24:56 -> 0:24:58]  Show a strategy that
[0:24:58 -> 0:25:00]  really worked that they can come up
[0:25:00 -> 0:25:02]  and show the whole class
[0:25:02 -> 0:25:04]  and maybe review it the next time
[0:25:04 -> 0:25:06]  in the bottle.
[0:25:06 -> 0:25:08]  I think all these things
[0:25:08 -> 0:25:10]  can be good to tie together
[0:25:10 -> 0:25:12]  and give
[0:25:12 -> 0:25:14]  shine to
[0:25:14 -> 0:25:16]  specific students who are doing
[0:25:18 -> 0:25:20]  really good work in those areas
[0:25:20 -> 0:25:22]  or just in a
[0:25:22 -> 0:25:24]  technique that can help
[0:25:24 -> 0:25:26]  the kids with their play.
[0:25:28 -> 0:25:30]  Today we would have had
[0:25:30 -> 0:25:32]  a closing, we would have highlighted
[0:25:32 -> 0:25:34]  some people look at each other's work.
[0:25:34 -> 0:25:36]  It's just that we haven't planned for it
[0:25:36 -> 0:25:38]  because we know how to the end.
[0:25:38 -> 0:25:40]  Yeah, I know that's not always
[0:25:40 -> 0:25:42]  a priority.
[0:25:42 -> 0:25:44]  We could do it tomorrow.
[0:25:44 -> 0:25:46]  With my demonstration, I could be like
[0:25:46 -> 0:25:48]  who was it
[0:25:48 -> 0:25:50]  who today was it that
[0:25:50 -> 0:25:52]  immediately went to doing things
[0:25:52 -> 0:25:54]  so they could stand up.
[0:25:54 -> 0:25:56]  Isabel a little bit did,
[0:25:56 -> 0:25:58]  but also did some flat.
[0:26:00 -> 0:26:02]  Marine.
[0:26:02 -> 0:26:04]  I could ask them too
[0:26:04 -> 0:26:06]  when I get here tomorrow.
[0:26:06 -> 0:26:08]  Because they wait next to each other.
[0:26:08 -> 0:26:10]  And Dylan too.
[0:26:10 -> 0:26:12]  Dylan made a car immediately
[0:26:12 -> 0:26:14]  that was like 3D and not flat.
[0:26:14 -> 0:26:16]  He was struggling to get it to stay.
[0:26:16 -> 0:26:18]  Who was that?
[0:26:18 -> 0:26:20]  Dylan.
[0:26:20 -> 0:26:22]  He made wheels and he was trying to
[0:26:22 -> 0:26:24]  put a piece of play dough and get it to stay on top.
[0:26:24 -> 0:26:26]  But maybe tomorrow
[0:26:26 -> 0:26:28]  by the end of the session
[0:26:28 -> 0:26:30]  they are all doing it.
[0:26:30 -> 0:26:32]  I like just 3D because
[0:26:32 -> 0:26:34]  I know that that kind of
[0:26:34 -> 0:26:36]  pushes.
[0:26:36 -> 0:26:38]  The 2D which
[0:26:38 -> 0:26:40]  maybe we want them to do 3D
[0:26:40 -> 0:26:42]  but I feel like there's still a lot of
[0:26:42 -> 0:26:44]  good things happening in 2D.
[0:26:44 -> 0:26:46]  Yes, but suggesting this is
[0:26:46 -> 0:26:48]  another way.
[0:26:48 -> 0:26:50]  I feel like we're just picking those examples
[0:26:50 -> 0:26:52]  so maybe we have one example that is
[0:26:52 -> 0:26:54]  3D and another one
[0:26:54 -> 0:26:56]  that is showing something else that is not necessarily 3D.
[0:26:56 -> 0:26:58]  With the clay stuff.
[0:26:58 -> 0:27:00]  With the play dough stuff.
[0:27:00 -> 0:27:02]  In 2D.
[0:27:02 -> 0:27:04]  Without saying you need to do it.
[0:27:04 -> 0:27:06]  The interesting ones I think with a lot of
[0:27:06 -> 0:27:08]  detail.
[0:27:08 -> 0:27:10]  It would be good to hear what they say.
[0:27:10 -> 0:27:12]  I imagine that being flat is harder
[0:27:12 -> 0:27:14]  to move them.
[0:27:14 -> 0:27:16]  Some of them are really pushing them to the paper.
[0:27:16 -> 0:27:18]  It's like stuck to the paper.
[0:27:18 -> 0:27:20]  They will have to peel it up.
[0:27:20 -> 0:27:22]  I don't know how they are going to move them.
[0:27:22 -> 0:27:24]  They might realize on their own
[0:27:24 -> 0:27:26]  that the 3D option
[0:27:26 -> 0:27:28]  which is what we want. We want them to realize
[0:27:28 -> 0:27:30]  that maybe the 3D is a better option
[0:27:30 -> 0:27:32]  because you can move it spatially.
[0:27:32 -> 0:27:34]  We'll tell them that they said that.
[0:27:34 -> 0:27:36]  They can discover it.
[0:27:36 -> 0:27:38]  I think Nobani
[0:27:38 -> 0:27:40]  started doing the 3D
[0:27:40 -> 0:27:42]  because she saw Marie.
[0:27:42 -> 0:27:44]  They learned from each other.
[0:27:44 -> 0:27:46]  Maybe they come up with a solution.
[0:27:46 -> 0:27:48]  Like with the clay.
[0:27:48 -> 0:27:50]  Maybe they come up with another solution.
[0:27:50 -> 0:27:52]  And that is
[0:27:52 -> 0:27:54]  capturing that is
[0:27:54 -> 0:27:56]  wonderful.
[0:27:56 -> 0:27:58]  At the beginning of session tomorrow.
[0:27:58 -> 0:28:00]  If we wanted to ask
[0:28:00 -> 0:28:02]  whoever is willing that
[0:28:02 -> 0:28:04]  we think is a good idea.
[0:28:04 -> 0:28:06]  If we come up early, whoever comes up early needs to play the game
[0:28:06 -> 0:28:08]  we started today.
[0:28:08 -> 0:28:10]  Yes. I wrote down the list of names
[0:28:10 -> 0:28:12]  who went today.
[0:28:12 -> 0:28:14]  Because I was like I'm not going to remember this unless I write it down.
[0:28:14 -> 0:28:16]  Yeah.
[0:28:16 -> 0:28:18]  And some of you kids
[0:28:18 -> 0:28:20]  might come.
[0:28:22 -> 0:28:24]  We were all in the same classroom
[0:28:24 -> 0:28:26]  today.
[0:28:28 -> 0:28:30]  To avoid the
[0:28:30 -> 0:28:32]  mess.
[0:28:32 -> 0:28:34]  And we had not too many.
[0:28:34 -> 0:28:36]  Because it was so many.
[0:28:36 -> 0:28:38]  It was fun.
[0:28:38 -> 0:28:40]  The room is displaying a certain way
[0:28:40 -> 0:28:42]  because of the tests.
[0:28:42 -> 0:28:44]  It might be better not to touch.
[0:28:44 -> 0:28:46]  I did say that maybe we just stay here.
[0:28:46 -> 0:28:48]  Yeah.
[0:28:48 -> 0:28:50]  Good idea for the testing.
[0:28:50 -> 0:28:52]  Because I didn't take pictures.
[0:28:52 -> 0:28:54]  Sorry.
[0:28:54 -> 0:28:56]  No. She's not coming tomorrow.
[0:28:56 -> 0:28:58]  What?
[0:28:58 -> 0:29:00]  Oh, so we did this
[0:29:00 -> 0:29:02]  for Andrea now.
[0:29:02 -> 0:29:04]  She's not allowing us in her room.
[0:29:04 -> 0:29:06]  Oh, is it just you?
[0:29:06 -> 0:29:08]  What?
[0:29:08 -> 0:29:10]  No, but they need to send that.
[0:29:10 -> 0:29:12]  They don't have to be a sub.
[0:29:12 -> 0:29:14]  I mean not a sub.
[0:29:14 -> 0:29:16]  It has to be a teacher.
[0:29:16 -> 0:29:18]  It's like I can't be
[0:29:18 -> 0:29:20]  one of my teachers
[0:29:20 -> 0:29:22]  is also absent tomorrow.
[0:29:22 -> 0:29:24]  And they were like I can't be the sub because
[0:29:24 -> 0:29:26]  you have to be a certified teacher
[0:29:26 -> 0:29:28]  for the test.
[0:29:28 -> 0:29:30]  It's very serious.
[0:29:30 -> 0:29:32]  Hannah, were you going to say anything else?
[0:29:32 -> 0:29:34]  Sorry. About the connections that you see
[0:29:34 -> 0:29:36]  with the classroom. For us it's very important.
[0:29:38 -> 0:29:40]  Things we can emphasize.
[0:29:42 -> 0:29:44]  With the anticipated misconception
[0:29:44 -> 0:29:46]  what do you see for this context?
[0:29:48 -> 0:29:50]  Do you have any suggestions for them?
[0:29:50 -> 0:29:52]  Well, I guess it was just like
[0:29:52 -> 0:29:54]  if the purpose, like I don't know
[0:29:54 -> 0:29:56]  exactly what
[0:29:56 -> 0:29:58]  how much you want to restrict
[0:29:58 -> 0:30:00]  or if there is any misconceptions
[0:30:00 -> 0:30:02]  in this sort of case
[0:30:02 -> 0:30:04]  as there might be with a typical lesson.
[0:30:06 -> 0:30:08]  If you're trying to discourage them
[0:30:08 -> 0:30:10]  from doing the 2D
[0:30:10 -> 0:30:12]  or from doing
[0:30:12 -> 0:30:14]  I don't know, like the violin
[0:30:14 -> 0:30:16]  or whatever it is
[0:30:16 -> 0:30:18]  that you think is like
[0:30:20 -> 0:30:22]  like this restriction should be
[0:30:22 -> 0:30:24]  just to address them
[0:30:24 -> 0:30:26]  in the beginning or in the
[0:30:26 -> 0:30:28]  times where you're like highlighting
[0:30:28 -> 0:30:30]  oh, why did you do this?
[0:30:30 -> 0:30:32]  Or like what did you do and why?
[0:30:34 -> 0:30:36]  Yeah, I understand that.
[0:30:36 -> 0:30:38]  Like if we want them to have a message
[0:30:38 -> 0:30:40]  in their story
[0:30:40 -> 0:30:42]  how are we going to get them
[0:30:42 -> 0:30:44]  to the message?
[0:30:44 -> 0:30:46]  Tell them you have to have a message.
[0:30:46 -> 0:30:48]  Like what is
[0:30:48 -> 0:30:50]  your story telling about?
[0:30:50 -> 0:30:52]  What do you want me as your audience
[0:30:52 -> 0:30:54]  to get from your story?
[0:30:54 -> 0:30:56]  Because you should have a purpose
[0:30:56 -> 0:30:58]  with your story.
[0:30:58 -> 0:31:00]  And I hope
[0:31:00 -> 0:31:02]  it's not we should all steal and go to jail.
[0:31:02 -> 0:31:04]  That's true.
[0:31:04 -> 0:31:06]  Like we can think about
[0:31:06 -> 0:31:08]  we could have pushed a little bit more
[0:31:08 -> 0:31:10]  toward more community building
[0:31:10 -> 0:31:12]  because we are experiencing
[0:31:12 -> 0:31:14]  community or how do we behave
[0:31:14 -> 0:31:16]  in a community?
[0:31:16 -> 0:31:18]  I guess, I don't know.
[0:31:18 -> 0:31:20]  They were having fun with the jail.
[0:31:20 -> 0:31:22]  And it's not real.
[0:31:22 -> 0:31:24]  It's not like
[0:31:24 -> 0:31:26]  it's just their imaginations.
[0:31:26 -> 0:31:28]  So there wasn't any violence
[0:31:28 -> 0:31:30]  either in that one.
[0:31:30 -> 0:31:32]  They were not shooting each other.
[0:31:32 -> 0:31:34]  In the stealing one?
[0:31:34 -> 0:31:36]  Thankfully. They were just stealing.
[0:31:36 -> 0:31:38]  But it was very fun. They were stealing these beautiful little animals.
[0:31:38 -> 0:31:40]  And I don't think, even though they put themselves in the role
[0:31:40 -> 0:31:42]  of the
[0:31:42 -> 0:31:44]  bad actors in the community
[0:31:44 -> 0:31:46]  they're still like
[0:31:46 -> 0:31:48]  understanding how the community functions
[0:31:48 -> 0:31:50]  and they're showing us that.
[0:31:50 -> 0:31:52]  Yeah, there was a consequence.
[0:31:52 -> 0:31:54]  But they also got out and they
[0:31:54 -> 0:31:56]  sent them to exercise, which is interesting
[0:31:56 -> 0:31:58]  because they could see
[0:31:58 -> 0:32:00]  something productive.
[0:32:00 -> 0:32:02]  Yeah, taking care of themselves.
[0:32:02 -> 0:32:04]  But I was saying that when they were doing the story
[0:32:04 -> 0:32:06]  they said that they
[0:32:06 -> 0:32:08]  would want to go to jail
[0:32:08 -> 0:32:10]  because they got an exercise.
[0:32:10 -> 0:32:12]  Yes, the story
[0:32:12 -> 0:32:14]  was that they were going to
[0:32:14 -> 0:32:16]  target, they were going to steal
[0:32:16 -> 0:32:18]  something and they were
[0:32:18 -> 0:32:20]  going to get caught
[0:32:20 -> 0:32:22]  so they would have to go to jail
[0:32:22 -> 0:32:24]  for, back then
[0:32:24 -> 0:32:26]  it was six years.
[0:32:26 -> 0:32:28]  97.
[0:32:28 -> 0:32:30]  Yeah.
[0:32:30 -> 0:32:32]  And then I asked them
[0:32:32 -> 0:32:34]  but you know you're going
[0:32:34 -> 0:32:36]  to be there for so long.
[0:32:36 -> 0:32:38]  What are you going to do?
[0:32:38 -> 0:32:40]  And then she came up with the idea that
[0:32:40 -> 0:32:42]  during that time she would exercise
[0:32:42 -> 0:32:44]  and get fit.
[0:32:44 -> 0:32:46]  There was something
[0:32:46 -> 0:32:48]  with the sequence that didn't work.
[0:32:48 -> 0:32:50]  Because they
[0:32:50 -> 0:32:52]  the mother was involved
[0:32:52 -> 0:32:54]  she didn't want them, so they seven years in there
[0:32:54 -> 0:32:56]  but then they sent us to exercise
[0:32:56 -> 0:32:58]  they let us go and sent us to exercise
[0:32:58 -> 0:33:00]  like the sequence didn't work for me in my head.
[0:33:00 -> 0:33:02]  But I see that you had it
[0:33:02 -> 0:33:04]  Yeah, and they were going
[0:33:04 -> 0:33:06]  to stay there to get
[0:33:06 -> 0:33:08]  fit during those years so when they
[0:33:08 -> 0:33:10]  leave jail
[0:33:10 -> 0:33:12]  they will
[0:33:12 -> 0:33:14]  be stronger.
[0:33:14 -> 0:33:16]  I'm not even surprised of your story
[0:33:16 -> 0:33:18]  look at the media we have, they probably watch Netflix at home
[0:33:18 -> 0:33:20]  and they all watch Wednesday
[0:33:20 -> 0:33:22]  and it's so terribly violent
[0:33:22 -> 0:33:24]  Speaking of that
[0:33:24 -> 0:33:26]  Jordani commented on my glasses
[0:33:26 -> 0:33:28]  saying that I look like Jeffrey Dahmer
[0:33:28 -> 0:33:30]  I was like, have you seen that?
[0:33:30 -> 0:33:32]  He was like, yeah, he takes showers
[0:33:32 -> 0:33:34]  and eats people, takes showers
[0:33:34 -> 0:33:36]  and blood and eats people. I was like, I didn't know that.
[0:33:36 -> 0:33:38]  That's terrible.
[0:33:38 -> 0:33:40]  Jordani, I think he's watched the show
[0:33:40 -> 0:33:42]  It's just
[0:33:42 -> 0:33:44]  there's nothing we can do
[0:33:44 -> 0:33:46]  to stop whatever happens
[0:33:46 -> 0:33:48]  when they have their kids in their home
[0:33:48 -> 0:33:50]  or their parents or grown ups
[0:33:50 -> 0:33:52]  We can't hurt them, make sense
[0:33:52 -> 0:33:54]  Yeah, and we can help them understand
[0:33:54 -> 0:33:56]  and I know we push for community
[0:33:56 -> 0:33:58]  I think we all tried
[0:33:58 -> 0:34:00]  but some kids were very adamant
[0:34:00 -> 0:34:02]  about no, no, no, we're going to the beach
[0:34:02 -> 0:34:04]  or we're going to jail
[0:34:04 -> 0:34:06]  and that's fine, I think my only question
[0:34:06 -> 0:34:08]  is for that story
[0:34:08 -> 0:34:10]  how are we going to make that stop motion
[0:34:10 -> 0:34:12]  because it's going to require a lot of scenes
[0:34:12 -> 0:34:14]  A lot of scenes, yeah
[0:34:14 -> 0:34:16]  A lot of time
[0:34:16 -> 0:34:18]  They would realize that they have to do something about that
[0:34:18 -> 0:34:20]  And they will have to trim their story
[0:34:20 -> 0:34:22]  Or make more scenery
[0:34:22 -> 0:34:24]  Right now they just need
[0:34:24 -> 0:34:26]  No, no, no, the jail one
[0:34:26 -> 0:34:28]  Oh, the jail one
[0:34:28 -> 0:34:30]  The one that they're going to the beach
[0:34:30 -> 0:34:32]  Just the moving to steal something
[0:34:32 -> 0:34:34]  is going to take at least
[0:34:34 -> 0:34:36]  say, 30 frames
[0:34:36 -> 0:34:38]  And if they get tired
[0:34:38 -> 0:34:40]  and they say, I'm done
[0:34:40 -> 0:34:42]  which is what happened last time, they had long stories
[0:34:42 -> 0:34:44]  that they didn't fully finish
[0:34:44 -> 0:34:46]  That's that, I guess
[0:34:46 -> 0:34:48]  So probably it will be a stealing and going to jail
[0:34:48 -> 0:34:50]  They will get tired before going to jail
[0:34:50 -> 0:34:52]  And in their mind they've made the story
[0:34:52 -> 0:34:54]  Yeah, they've made the story
[0:34:54 -> 0:34:56]  In a different form
[0:34:56 -> 0:34:58]  They might choose to only show
[0:34:58 -> 0:35:00]  one piece that they really like
[0:35:00 -> 0:35:02]  or something weird
[0:35:02 -> 0:35:04]  Or maybe something that will help them
[0:35:06 -> 0:35:08]  We just have next week
[0:35:10 -> 0:35:12]  Tomorrow and next week
[0:35:14 -> 0:35:16]  So support
[0:35:16 -> 0:35:18]  I'll bring the tripod tomorrow
[0:35:18 -> 0:35:20]  The story making is
[0:35:20 -> 0:35:22]  good, right Hanna?
[0:35:22 -> 0:35:24]  Oh yeah
[0:35:24 -> 0:35:26]  You see connections with the day school
[0:35:26 -> 0:35:28]  I know you're in kindergarten
[0:35:28 -> 0:35:30]  Oh, go ahead
[0:35:30 -> 0:35:32]  If they were in school, would they have been redirected
[0:35:32 -> 0:35:34]  from the stories that we're talking about here?
[0:35:34 -> 0:35:36]  Like no stealing?
[0:35:36 -> 0:35:38]  Yeah
[0:35:38 -> 0:35:40]  So, they get to be free
[0:35:40 -> 0:35:42]  in our program
[0:35:42 -> 0:35:44]  Maybe you could try to redirect them tomorrow
[0:35:44 -> 0:35:46]  Yeah, I don't know
[0:35:46 -> 0:35:48]  I don't think we need to
[0:35:52 -> 0:35:54]  I don't think we need to, I don't know
[0:35:54 -> 0:35:56]  I think what we're trying to do here is
[0:35:56 -> 0:35:58]  let them express
[0:35:58 -> 0:36:00]  how they understand their community
[0:36:00 -> 0:36:02]  Is it Kelsey?
[0:36:02 -> 0:36:04]  Kelsey, Kaylee, Chloe
[0:36:04 -> 0:36:06]  Chloe tambien
[0:36:06 -> 0:36:08]  They dragged Chloe because Chloe had a different story
[0:36:08 -> 0:36:10]  And Lucas is in that table
[0:36:12 -> 0:36:14]  Chloe, yeah, they erased her name
[0:36:14 -> 0:36:16]  but now she's the policewoman
[0:36:16 -> 0:36:18]  Yeah, because Chloe had another story
[0:36:18 -> 0:36:20]  A nice story
[0:36:20 -> 0:36:22]  Yeah, that they were together
[0:36:22 -> 0:36:24]  and it was
[0:36:24 -> 0:36:26]  her, Isis
[0:36:26 -> 0:36:28]  and Kelsey and Kaylee
[0:36:28 -> 0:36:30]  going to Gracie's
[0:36:30 -> 0:36:32]  or something like that
[0:36:32 -> 0:36:34]  like a name of a store
[0:36:34 -> 0:36:36]  and they were going to buy some
[0:36:36 -> 0:36:38]  makeup
[0:36:38 -> 0:36:40]  and some tavers
[0:36:40 -> 0:36:42]  or something like that
[0:36:42 -> 0:36:44]  and then they are going to
[0:36:44 -> 0:36:46]  get back to Will's
[0:36:46 -> 0:36:48]  That was the story
[0:36:48 -> 0:36:50]  But that was Chloe's story
